,name,term,rate,rolled_rate,roll,notional,date
127,eur 3Y21Y,3Y21Y,2.5069429475001517,2.5067875908989725,-0.0001553566011791574,3300000.0,2024-04-02
128,eur 3Y22Y,3Y22Y,2.4927576768564057,2.49261246401707,-0.00014521283933577323,3200000.0,2024-04-02
129,eur 5Y20Y,5Y20Y,2.52958441677641,2.529466458481691,-0.00011795829471905606,3600000.0,2024-04-02
130,eur 12Y3Y,12Y3Y,2.8798101935163998,2.879699328521405,-0.00011086499499457503,23200000.0,2024-04-02
131,eur 3Y2Y,3Y2Y,2.211884736374204,2.2118687520466658,-1.5984327538021148e-05,27800000.0,2024-04-02
132,eur 18Y2Y,18Y2Y,2.5312902602608767,2.5312902594838014,-7.770752930014169e-10,41200000.0,2024-04-02
133,eur 17Y3Y,17Y3Y,2.53124552805306,2.5312455273693173,-6.837428401240686e-10,27100000.0,2024-04-02
134,eur 13Y2Y,13Y2Y,2.879848791149561,2.879848790612078,-5.374829470383702e-10,35300000.0,2024-04-02
135,eur 16Y4Y,16Y4Y,2.5312016843220357,2.531201683942355,-3.796807312994588e-10,20100000.0,2024-04-02
136,eur 22Y1Y,22Y1Y,2.098486928356991,2.0984869283569476,-4.3520742565306136e-14,93800000.0,2024-04-02
137,eur 24Y1Y,24Y1Y,2.0984869283569902,2.098486928356947,-4.3076653355456074e-14,97800000.0,2024-04-02
138,eur 27Y1Y,27Y1Y,1.924990865939758,1.9249908659397357,-2.2426505097428162e-14,106400000.0,2024-04-02
139,eur 28Y1Y,28Y1Y,1.92493973281701,1.9249397328169884,-2.1538326677728037e-14,108800000.0,2024-04-02
140,eur 19Y1Y,19Y1Y,2.5314237645839914,2.53142376458397,-2.1316282072803006e-14,83100000.0,2024-04-02
141,eur 22Y2Y,22Y2Y,2.0985170127335473,2.098517012733536,-1.1102230246251565e-14,47300000.0,2024-04-02
142,eur 28Y2Y,28Y2Y,1.92493973281701,1.9249397328169988,-1.1102230246251565e-14,54900000.0,2024-04-02
143,eur 26Y2Y,26Y2Y,1.9249650865964343,1.9249650865964236,-1.0658141036401503e-14,52800000.0,2024-04-02
144,eur 14Y1Y,14Y1Y,2.879964200429592,2.879964200429591,-8.881784197001252e-16,71400000.0,2024-04-02
145,eur 29Y1Y,29Y1Y,1.9249397328170101,1.92493973281701,-2.220446049250313e-16,110900000.0,2024-04-02
146,eur 26Y1Y,26Y1Y,1.92493973281701,1.9249397328170101,2.220446049250313e-16,104700000.0,2024-04-02
147,eur 13Y1Y,13Y1Y,2.8797360404159797,2.87973604041598,4.440892098500626e-16,69800000.0,2024-04-02
148,eur 26Y3Y,26Y3Y,1.9250240332159265,1.9250240332159334,6.8833827526759706e-15,35400000.0,2024-04-02
149,eur 21Y3Y,21Y3Y,2.0985869266151864,2.0985869266151935,7.105427357601002e-15,31100000.0,2024-04-02
150,eur 27Y2Y,27Y2Y,1.9250671347064106,1.925067134706421,1.0436096431476471e-14,53500000.0,2024-04-02
151,eur 21Y2Y,21Y2Y,2.098486928356958,2.0984869283569685,1.0658141036401503e-14,46400000.0,2024-04-02
152,eur 16Y2Y,16Y2Y,2.531159052300358,2.531159052300369,1.1102230246251565e-14,39300000.0,2024-04-02
153,eur 16Y3Y,16Y3Y,2.531159052300354,2.531159052300368,1.4210854715202004e-14,26500000.0,2024-04-02
154,eur 21Y1Y,21Y1Y,2.098486928356947,2.0984869283569685,2.1316282072803006e-14,91800000.0,2024-04-02
155,eur 23Y1Y,23Y1Y,2.09854766208646,2.098547662086481,2.1316282072803006e-14,95500000.0,2024-04-02
156,eur 17Y1Y,17Y1Y,2.5311590523003473,2.5311590523003686,2.1316282072803006e-14,79600000.0,2024-04-02
157,eur 17Y2Y,17Y2Y,2.5311590523003464,2.5311590523003686,2.220446049250313e-14,40300000.0,2024-04-02
158,eur 18Y1Y,18Y1Y,2.5311590523003464,2.5311590523003686,2.220446049250313e-14,81600000.0,2024-04-02
159,eur 16Y1Y,16Y1Y,2.5311590523003464,2.531159052300369,2.2648549702353193e-14,77600000.0,2024-04-02
160,eur 22Y3Y,22Y3Y,2.0985072040375354,2.0985072041312076,9.367218112288356e-11,31900000.0,2024-04-02
161,eur 23Y2Y,23Y2Y,2.0985176544387807,2.0985176546539375,2.1515678128025684e-10,48300000.0,2024-04-02
162,eur 2Y4Y,2Y4Y,2.2466408224974437,2.246751455246705,0.00011063274926126354,13900000.0,2024-04-02
163,eur 4Y22Y,4Y22Y,2.4912142399146218,2.491342327402239,0.00012808748761727884,3300000.0,2024-04-02
164,eur 4Y23Y,4Y23Y,2.4724564012675807,2.47258861702738,0.00013221575979915912,3200000.0,2024-04-02
165,eur 4Y24Y,4Y24Y,2.4552269065032615,2.455362409000085,0.0001355024968234808,3100000.0,2024-04-02
166,eur 4Y25Y,4Y25Y,2.439352390780527,2.4394904933640835,0.00013810258355650973,3000000.0,2024-04-02
167,eur 1Y14Y,1Y14Y,2.554373444411942,2.5545270417555903,0.00015359734364839284,4400000.0,2024-04-02
168,eur 4Y26Y,4Y26Y,2.424663331736051,2.424817368863546,0.00015403712749506582,2900000.0,2024-04-02
169,eur 1Y13Y,1Y13Y,2.5336774368826327,2.533835012191972,0.00015757530933946384,4700000.0,2024-04-02
170,eur 1Y12Y,1Y12Y,2.5095948414168445,2.5097559390347834,0.0001610976179389212,5000000.0,2024-04-02
171,eur 1Y11Y,1Y11Y,2.481043826106168,2.4812328333019416,0.00018900719577352731,5400000.0,2024-04-02
