date,ccy,term,rate,direction,pnl,close_date
2023-11-01,gbp,1Y2Y,4.420735897869254,1,-187924.442167831,2023-12-01
2023-11-01,gbp,1Y1Y,4.5961266993246115,1,-165093.86855694387,2023-12-01
2023-12-01,gbp,9Y1Y,3.9945880673541554,-1,197107.91929866734,2024-01-02
2023-12-01,gbp,8Y2Y,3.9317044334238993,-1,198494.18603862802,2024-01-02
2023-12-01,gbp,8Y1Y,3.8714014677713204,-1,199590.7051288135,2024-01-02
2023-12-01,gbp,1Y3Y,3.889569434972927,1,-365875.21621042956,2024-01-02
2023-12-01,gbp,1Y2Y,4.006285658831125,1,-379253.09999803704,2024-01-02
2023-12-01,gbp,1Y1Y,4.208753307741664,1,-386507.98752198904,2024-01-02
2024-01-02,gbp,8Y1Y,3.4853470499998194,-1,-64766.5246782263,2024-02-01
2024-01-02,gbp,7Y2Y,3.406232080724807,-1,-73896.29151041976,2024-02-01
2024-01-02,gbp,7Y1Y,3.3291746448980355,-1,-82826.68512786874,2024-02-01
2024-01-02,gbp,1Y3Y,3.130559219657241,1,115348.72531769569,2024-02-01
2024-01-02,gbp,1Y2Y,3.2106384977340356,1,120642.9503679165,2024-02-01
2024-01-02,gbp,1Y1Y,3.3774005909595224,1,137159.48803230128,2024-02-01
2024-02-01,gbp,7Y1Y,3.507401329107141,-1,-24667.319975297585,2024-03-01
2024-02-01,gbp,6Y2Y,3.428456758803684,-1,-50418.074292013946,2024-03-01
2024-02-01,gbp,7Y2Y,3.5651532505162917,-1,-26552.20732557173,2024-03-01
2024-02-01,gbp,1Y3Y,3.335410895181015,1,249865.53256499345,2024-03-01
2024-02-01,gbp,1Y2Y,3.416110996116659,1,273663.0176829655,2024-03-01
2024-02-01,gbp,1Y1Y,3.5947850535742236,1,286780.5640544112,2024-03-01
2024-03-01,gbp,8Y1Y,3.692694019393294,-1,-31148.79486956457,2024-04-02
2024-03-01,gbp,8Y2Y,3.746913966744225,-1,-30221.257437947013,2024-04-02
2024-03-01,gbp,9Y1Y,3.803196004966702,-1,-29607.937731612965,2024-04-02
2024-03-01,gbp,1Y3Y,3.807532216307406,1,-38294.492483898604,2024-04-02
2024-03-01,gbp,1Y2Y,3.9297511990829297,1,-41136.66804540705,2024-04-02
2024-03-01,gbp,1Y1Y,4.122974290970038,1,-39259.00750280098,2024-04-02
2024-04-02,gbp,8Y1Y,3.766635689134011,-1,-109108.31994023852,2024-05-01
2024-04-02,gbp,8Y2Y,3.81753015344126,-1,-110247.04073335801,2024-05-01
2024-04-02,gbp,7Y2Y,3.694141691853232,-1,-116768.66274867725,2024-05-01
2024-04-02,gbp,1Y3Y,3.705707906003634,1,230327.17436112862,2024-05-01
2024-04-02,gbp,1Y2Y,3.8161055251834246,1,247633.02406860198,2024-05-01
2024-04-02,gbp,1Y1Y,4.000716902974744,1,263820.1554928554,2024-05-01
2024-05-01,gbp,8Y1Y,3.9947907420219804,-1,88352.52166654616,2024-06-03
2024-05-01,gbp,8Y2Y,4.047737348034255,-1,71616.38708166685,2024-06-03
2024-05-01,gbp,9Y1Y,4.102544088805482,-1,54320.05019928532,2024-06-03
2024-05-01,gbp,1Y3Y,4.139303207704642,1,-80572.7308419657,2024-06-03
2024-05-01,gbp,1Y2Y,4.280596757337576,1,-73782.75131739232,2024-06-03
2024-05-01,gbp,1Y1Y,4.4918271484237335,1,-66986.73896657903,2024-06-03
2024-06-03,gbp,9Y1Y,4.008970749784229,-1,-44504.12185227437,2024-07-01
2024-06-03,gbp,8Y2Y,3.915118769664807,-1,-57507.79654642102,2024-07-01
2024-06-03,gbp,7Y3Y,3.857163655892401,-1,-55819.48807105719,2024-07-01
2024-06-03,gbp,1Y3Y,3.950084106450696,1,-15461.125340806126,2024-07-01
2024-06-03,gbp,1Y2Y,4.101033607268871,1,-28870.440927116546,2024-07-01
2024-06-03,gbp,1Y1Y,4.31810254621101,1,-43346.80819686421,2024-07-01
2024-07-01,gbp,9Y1Y,4.1093852892563625,-1,,2024-08-01
2024-07-01,gbp,7Y1Y,3.863753159388783,-1,,2024-08-01
2024-07-01,gbp,7Y3Y,3.979247877879016,-1,,2024-08-01
2024-07-01,gbp,1Y3Y,3.893520148225795,1,,2024-08-01
2024-07-01,gbp,1Y2Y,4.012926743872183,1,,2024-08-01
2024-07-01,gbp,1Y1Y,4.190166809489936,1,,2024-08-01
2019-08-02,chf,5Y1Y,-0.4916109202323562,-1,82591.66690497716,2019-09-02
2019-08-02,chf,8Y1Y,-0.011164796585228317,-1,120809.26157920957,2019-09-02
2019-08-02,chf,7Y2Y,-0.10555546380821185,-1,100941.33103327177,2019-09-02
2019-08-02,chf,1Y3Y,-0.9222125114047356,1,-51743.625184285826,2019-09-02
2019-08-02,chf,1Y2Y,-0.9717175831892615,1,-50574.26067983684,2019-09-02
2019-08-02,chf,1Y1Y,-1.010705507203937,1,-54895.53348831122,2019-09-02
2019-09-02,chf,6Y1Y,-0.49127581196153564,-1,-103009.87130202369,2019-10-01
2019-09-02,chf,5Y2Y,-0.5678091504321461,-1,-105590.78630919979,2019-10-01
2019-09-02,chf,4Y3Y,-0.6412424945772004,-1,-102116.79687532534,2019-10-01
2019-09-02,chf,2Y1Y,-1.0196428224596799,1,106267.31831121189,2019-10-01
2019-09-02,chf,1Y2Y,-1.0674379036579011,1,106897.07878104576,2019-10-01
2019-09-02,chf,1Y1Y,-1.1157317442836494,1,107455.90754438528,2019-10-01
2019-10-01,chf,5Y1Y,-0.41309345307681233,-1,-84340.93393272288,2019-11-01
2019-10-01,chf,8Y1Y,-0.010204659671237591,-1,-80157.354614647,2019-11-01
2019-10-01,chf,5Y2Y,-0.34314088752466865,-1,-91108.74530916745,2019-11-01
2019-10-01,chf,1Y2Y,-0.8505592799406528,1,70130.21926337598,2019-11-01
2019-10-01,chf,9Y1Y,-0.013735017744096713,1,116997.3200307343,2019-11-01
2019-10-01,chf,1Y1Y,-0.901878093833925,1,97594.24981099229,2019-11-01
2019-11-01,chf,6Y1Y,-0.06276924243391659,-1,10546.527250622481,2019-12-02
2019-11-01,chf,5Y2Y,-0.14715092546156208,-1,8438.609653819416,2019-12-02
2019-11-01,chf,5Y1Y,-0.23068809537150836,-1,6786.700858615144,2019-12-02
2019-11-01,chf,1Y1Y,-0.7060223550617292,1,-13803.12094988384,2019-12-02
2019-11-01,chf,1Y2Y,-0.7107735399802131,1,15277.604569883584,2019-12-02
2019-11-01,chf,2Y1Y,-0.7159243795602528,1,44388.576365619105,2019-12-02
2019-12-02,chf,6Y1Y,-0.07022697554183426,-1,11139.32707726257,2020-01-03
2019-12-02,chf,5Y2Y,-0.15041135274505216,-1,2226.1034898887756,2020-01-03
2019-12-02,chf,5Y1Y,-0.23065229161562126,-1,-6955.790223913211,2020-01-03
2019-12-02,chf,1Y3Y,-0.6297050845178542,1,23014.400376028643,2020-01-03
2019-12-02,chf,1Y2Y,-0.6761887809636568,1,20157.7068731848,2020-01-03
2019-12-02,chf,1Y1Y,-0.7320378312625822,1,21812.316372206427,2020-01-03
2020-01-03,chf,5Y1Y,-0.2047172071801338,-1,118013.89473077514,2020-02-03
2020-01-03,chf,4Y2Y,-0.27567139378987426,-1,113206.51924624419,2020-02-03
2020-01-03,chf,5Y2Y,-0.14362710763417513,-1,121869.8037742646,2020-02-03
2020-01-03,chf,1Y3Y,-0.577010914494709,1,-77545.46927455057,2020-02-03
2020-01-03,chf,1Y2Y,-0.6303745330249817,1,-69511.74218168194,2020-02-03
2020-01-03,chf,1Y1Y,-0.6846716349513394,1,-55170.063632824334,2020-02-03
