name,term,rate,rolled_rate,roll,date
eur 9Y15Y,9Y15Y,1.659269842,1.662215365,-0.002945522,01/08/2022
eur 9Y16Y,9Y16Y,1.634427257,1.637216886,-0.002789629,01/08/2022
eur 9Y17Y,9Y17Y,1.605338995,1.608578177,-0.003239181,01/08/2022
eur 9Y18Y,9Y18Y,1.579704868,1.582795597,-0.003090729,01/08/2022
eur 9Y19Y,9Y19Y,1.556713296,1.559669927,-0.002956631,01/08/2022
eur 9Y20Y,9Y20Y,1.535923706,1.538758305,-0.002834599,01/08/2022
eur 9Y21Y,9Y21Y,1.517035539,1.519758677,-0.002723138,01/08/2022
eur 10Y1Y,10Y1Y,2.048318292,2.034848291,0.01347,01/08/2022
eur 10Y2Y,10Y2Y,2.086758221,2.076940516,0.009817706,01/08/2022
eur 10Y3Y,10Y3Y,2.058445958,2.055223291,0.003222667,01/08/2022
eur 10Y4Y,10Y4Y,2.044242493,2.041806394,0.002436099,01/08/2022
eur 10Y5Y,10Y5Y,2.035779826,2.033809974,0.001969852,01/08/2022
eur 10Y6Y,10Y6Y,1.955302081,1.960028118,-0.004726036,01/08/2022
eur 10Y7Y,10Y7Y,1.897483813,1.901588425,-0.004104611,01/08/2022
eur 10Y8Y,10Y8Y,1.853942313,1.857575156,-0.003632843,01/08/2022
eur 10Y9Y,10Y9Y,1.820135004,1.823399364,-0.00326436,01/08/2022
eur 10Y10Y,10Y10Y,1.792694816,1.795900627,-0.003205811,01/08/2022
eur 10Y11Y,10Y11Y,1.744400606,1.749368266,-0.004967659,01/08/2022
eur 10Y12Y,10Y12Y,1.70391938,1.708523749,-0.004604369,01/08/2022
eur 10Y13Y,10Y13Y,1.669585058,1.673879124,-0.004294067,01/08/2022
eur 10Y14Y,10Y14Y,1.640098418,1.644124399,-0.004025981,01/08/2022
eur 10Y15Y,10Y15Y,1.614481856,1.618295984,-0.003814127,01/08/2022
eur 10Y16Y,10Y16Y,1.584490848,1.588708407,-0.004217559,01/08/2022
eur 10Y17Y,10Y17Y,1.558187027,1.56219354,-0.004006513,01/08/2022
eur 10Y18Y,10Y18Y,1.534693918,1.538510938,-0.003817019,01/08/2022
eur 10Y19Y,10Y19Y,1.513639017,1.517285415,-0.003646397,01/08/2022
eur 10Y20Y,10Y20Y,1.494602664,1.498106804,-0.003504139,01/08/2022
eur 11Y1Y,11Y1Y,2.126372915,2.119723049,0.006649866,01/08/2022
eur 11Y2Y,11Y2Y,2.06384574,2.065797722,-0.001951981,01/08/2022
eur 11Y3Y,11Y3Y,2.042988115,2.044302103,-0.001313987,01/08/2022
eur 11Y4Y,11Y4Y,2.032566339,2.033560963,-0.000994624,01/08/2022
