point,t1,t2,aud,cad,nok,eur,gbp,jpy,nzd,sek,usd
11y18y,11,29,4.25789016808881,3.399069479952556,2.7817698781478493,2.250241167685922,3.801814965893745,1.9855841652143011,4.761268363368022,2.1447453181758,3.4575781569165174
11y19y,11,30,4.230714816785722,3.3691754344063773,2.7498508463631546,2.2245768800344354,3.7887011047146926,1.9815815225320679,4.750518013584476,2.1231763714480376,3.4340694461284746
12y1y,12,13,4.68743667517882,3.8313106841969953,3.319356818233455,2.7781434433439283,3.938919419333295,1.8129686603862187,4.741604823241228,2.6544814717797727,3.7783745778392683
12y2y,12,14,4.685550460777992,3.8397703118438744,3.28274755234678,2.7622969320436503,3.9504057090670375,1.8493880350827467,4.765197112946615,2.63511212161034,3.78208725124608
12y3y,12,15,4.674933289661654,3.8384875158259946,3.245532161681665,2.7355367519763174,3.9545132791877817,1.8863120946947431,4.781250809208401,2.6087012056963856,3.7800630773825263
12y4y,12,16,4.65559456562547,3.827006178925056,3.2079231618695228,2.698003767739052,3.951068414829542,1.9234563907985465,4.7896685045926874,2.5753636725864184,3.7717439929921945
12y5y,12,17,4.630350493674546,3.8079882591760414,3.1700430812867655,2.654772267563027,3.943306353879911,1.9578406723243518,4.7940151779399995,2.537594404146392,3.758614229774194
12y6y,12,18,4.6010636946841545,3.7830363188911713,3.1320451151788706,2.6092428121399296,3.933304870605362,1.9874020367291172,4.796612360947239,2.4970807708033447,3.7414650107912943
12y7y,12,19,4.568822867999091,3.7528929782024036,3.0941074024741835,2.5634572082102403,3.9222021555426942,2.010821692188043,4.798772144952423,2.4548544952002507,3.720524793049287
12y8y,12,20,4.53442654887411,3.717978214255177,3.0564175226022665,2.518948228264501,3.9107840895184856,2.027059907749773,4.801428062874245,2.411701530657848,3.6958109365351275
12y9y,12,21,4.49857782718985,3.678892257280723,3.019147865402955,2.476756936252803,3.8995107538239253,2.0357519639073103,4.804951236933889,2.3683958455930547,3.66756691322937
12y10y,12,22,4.462033899343771,3.637310775804946,2.9824040474404105,2.436869524993454,3.888164336278231,2.038546822051193,4.808232329197083,2.326001157161068,3.637122992701764
12y11y,12,23,4.425517839635014,3.594878330113721,2.9462924383185785,2.3992042672436455,3.8764803936348,2.037138626357157,4.8101070788929805,2.285553955766837,3.6057915179884943
12y12y,12,24,4.389710295163632,3.5530019621157503,2.9109330914717146,2.3638202945471254,3.864282127268866,2.0328737680699582,4.809646654436551,2.2480090504082626,3.5746573357078226
