date,ccy,term,rate,direction,exit_rate,pnl,close_date
2023-07-03,gbp,9Y1Y,3.4706056864122647,-1,3.7433770721242876,-136385.69285601142,2023-08-01
2023-07-03,gbp,1Y1Y,5.931209493096002,1,5.541436340156825,-194886.5764695884,2023-08-01
2023-07-03,gbp,2Y1Y,5.069307210799722,1,4.8013878098516445,-133959.70047403872,2023-08-01
2023-07-03,gbp,1Y2Y,5.510911451414761,1,5.179122881980137,-165894.2847173117,2023-08-01
2023-08-01,gbp,8Y1Y,3.6967205842477147,-1,3.836579887676213,-69929.65171424914,2023-09-01
2023-08-01,gbp,8Y2Y,3.721566219634839,-1,3.8712802087103584,-74856.99453775973,2023-09-01
2023-08-01,gbp,9Y1Y,3.747863311442079,-1,3.9074352064521816,-79785.9475050513,2023-09-01
2023-08-01,gbp,1Y3Y,4.852611658602671,1,4.743597011557984,-54507.32352234322,2023-09-01
2023-08-01,gbp,1Y2Y,5.1297782906659,1,4.96242191792941,-83678.1863682452,2023-09-01
2023-08-01,gbp,1Y1Y,5.485183886533163,1,5.268251303066962,-108466.2917331003,2023-09-01
2023-09-01,gbp,9Y1Y,3.9133482601413134,-1,4.3157946472135436,-201223.19353611505,2023-10-02
2023-09-01,gbp,8Y2Y,3.8767511846685774,-1,4.248811597473848,-186030.20640263535,2023-10-02
2023-09-01,gbp,8Y1Y,3.8416285713813227,-1,4.185559530974602,-171965.47979663947,2023-10-02
2023-09-01,gbp,1Y3Y,4.704199976307583,1,4.584429605617688,-59885.1853449478,2023-10-02
2023-09-01,gbp,1Y2Y,4.918486779421009,1,4.7243280821252664,-97079.34864787137,2023-10-02
2023-09-01,gbp,1Y1Y,5.212604898473617,1,4.969484102850985,-121560.397811316,2023-10-02
2023-10-02,gbp,9Y1Y,4.327746725859472,-1,4.36903515164655,-20644.212893538683,2023-11-01
2023-10-02,gbp,8Y2Y,4.256823133800896,-1,4.311754909734016,-27465.887966559687,2023-11-01
2023-10-02,gbp,7Y3Y,4.215128624891395,-1,4.256618067889454,-20744.721499029507,2023-11-01
2023-10-02,gbp,1Y3Y,4.554306444586533,1,4.346749974902621,-103778.23484195625,2023-11-01
2023-10-02,gbp,1Y2Y,4.686801983093071,1,4.454486953980543,-116157.51455626411,2023-11-01
2023-10-02,gbp,1Y1Y,4.920459426872825,1,4.646844442082855,-136807.4923949849,2023-11-01
2023-11-01,gbp,9Y1Y,4.378381076130845,-1,3.9841027350385976,197139.17054612364,2023-12-01
2023-11-01,gbp,8Y2Y,4.320953663649548,-1,3.921397047253087,199778.30819823052,2023-12-01
2023-11-01,gbp,8Y1Y,4.265595630989567,-1,3.861258661552877,202168.48471834493,2023-12-01
2023-11-01,gbp,1Y3Y,4.320324074746938,1,3.919874378686957,-200224.84802999042,2023-12-01
2023-11-01,gbp,1Y2Y,4.420735897869254,1,4.044887013533592,-187924.442167831,2023-12-01
2023-11-01,gbp,1Y1Y,4.5961266993246115,1,4.265938962210724,-165093.86855694387,2023-12-01
2023-12-01,gbp,9Y1Y,3.9945880673541554,-1,3.600372228756821,197107.9192986671,2024-01-02
2023-12-01,gbp,8Y2Y,3.9317044334238993,-1,3.534716061346644,198494.18603862755,2024-01-02
2023-12-01,gbp,8Y1Y,3.8714014677713204,-1,3.472220057513695,199590.70512881284,2024-01-02
2023-12-01,gbp,1Y3Y,3.889569434972927,1,3.157819002552068,-365875.21621042956,2024-01-02
2023-12-01,gbp,1Y2Y,4.006285658831125,1,3.247779458835051,-379253.09999803704,2024-01-02
2023-12-01,gbp,1Y1Y,4.208753307741664,1,3.435737332697686,-386507.98752198904,2024-01-02
2024-01-02,gbp,8Y1Y,3.4853470499998425,-1,3.614880099356272,-64766.52467821475,2024-02-01
2024-01-02,gbp,7Y2Y,3.4062320807248296,-1,3.5540246637456465,-73896.29151040844,2024-02-01
2024-01-02,gbp,7Y1Y,3.329174644898058,-1,3.494828015153773,-82826.6851278574,2024-02-01
2024-01-02,gbp,1Y3Y,3.130559219657241,1,3.3612566702926325,115348.72531769569,2024-02-01
2024-01-02,gbp,1Y2Y,3.2106384977340356,1,3.4519243984698686,120642.9503679165,2024-02-01
2024-01-02,gbp,1Y1Y,3.3774005909595224,1,3.651719567024125,137159.48803230128,2024-02-01
2024-02-01,gbp,7Y1Y,3.507401329107141,-1,3.556735969057736,-24667.319975297585,2024-03-01
2024-02-01,gbp,6Y2Y,3.428456758803684,-1,3.529292907387712,-50418.074292013946,2024-03-01
2024-02-01,gbp,7Y2Y,3.5651532505162917,-1,3.618257665167435,-26552.20732557173,2024-03-01
2024-02-01,gbp,1Y3Y,3.335410895181015,1,3.835141960311002,249865.53256499345,2024-03-01
2024-02-01,gbp,1Y2Y,3.416110996116659,1,3.96343703148259,273663.0176829655,2024-03-01
2024-02-01,gbp,1Y1Y,3.5947850535742236,1,4.168346181683046,286780.5640544112,2024-03-01
2024-03-01,gbp,8Y1Y,3.692694019393294,-1,3.754991609132423,-31148.79486956457,2024-04-02
2024-03-01,gbp,8Y2Y,3.746913966744225,-1,3.807356481620119,-30221.257437947013,2024-04-02
2024-03-01,gbp,9Y1Y,3.803196004966702,-1,3.862411880429928,-29607.937731612965,2024-04-02
2024-03-01,gbp,1Y3Y,3.807532216307406,1,3.7309432313396087,-38294.492483898604,2024-04-02
2024-03-01,gbp,1Y2Y,3.9297511990829297,1,3.8474778629921156,-41136.66804540705,2024-04-02
2024-03-01,gbp,1Y1Y,4.122974290970038,1,4.0444562759644365,-39259.00750280098,2024-04-02
2024-04-02,gbp,8Y1Y,3.766635689134011,-1,3.984852329014488,-109108.31994023852,2024-05-01
2024-04-02,gbp,8Y2Y,3.81753015344126,-1,4.038024234907976,-110247.04073335801,2024-05-01
2024-04-02,gbp,7Y2Y,3.694141691853232,-1,3.9276790173505867,-116768.66274867725,2024-05-01
